"ticker","date","value","field","variable","nice_field"
"MXFEJ Index",1987-12-31,100,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1988-01-29,104.96,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1988-02-29,105.72,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1988-03-31,111.2,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1988-04-29,115.88,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1988-05-31,114.92,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1988-06-30,124.81,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1988-07-29,127.02,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1988-08-31,116.1,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1988-09-30,116.6,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1988-10-31,122.35,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1988-11-30,123.62,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1988-12-30,125.84,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1989-01-31,140.64,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1989-02-28,139.5,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1989-03-31,141.89,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1989-04-28,150.76,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1989-05-31,143.78,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1989-06-30,133.15,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1989-07-31,144.73,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1989-08-31,141.96,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1989-09-29,151.02,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1989-10-31,148.17,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1989-11-30,154.08,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1989-12-29,161.09,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1990-01-31,160.57,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1990-02-28,166.63,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1990-03-30,167.04,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1990-04-30,159.67,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1990-05-31,175.04,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1990-06-29,178.79,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1990-07-31,189.26,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1990-08-31,161.67,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1990-09-28,136.53,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1990-10-31,144.82,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1990-11-30,139.16,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1990-12-31,145.5,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1991-01-31,153.08,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1991-02-28,171.6,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1991-03-29,179.03,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1991-04-30,176.56,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1991-05-31,178.64,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1991-06-28,173.39,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1991-07-31,178.81,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1991-08-30,174.23,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1991-09-30,168.91,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1991-10-31,171.04,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1991-11-29,176.08,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1991-12-31,184.44,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1992-01-31,197.05,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1992-02-28,203.6,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1992-03-31,201.43,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1992-04-30,208.24,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1992-05-29,222.08,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1992-06-30,225.78,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1992-07-31,219.43,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1992-08-31,211.73,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1992-09-30,215.56,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1992-10-30,234.48,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1992-11-30,225.58,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1992-12-31,218.48,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1993-01-29,225.02,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1993-02-26,237.86,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1993-03-31,237.37,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1993-04-30,257.74,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1993-05-31,272.18,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1993-06-30,264.65,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1993-07-30,265.8,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1993-08-31,287.58,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1993-09-30,298.13,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1993-10-29,352.64,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1993-11-30,349.75,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1993-12-31,434.34,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1994-01-31,404.28,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1994-02-28,380.62,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1994-03-31,338.34,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1994-04-29,353.45,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1994-05-31,368.1,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1994-06-30,351.12,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1994-07-29,370.23,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1994-08-31,399.77,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1994-09-30,392.65,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1994-10-31,399.84,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1994-11-30,361.2,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1994-12-30,351.78,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1995-01-31,313.63,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1995-02-28,344.9,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1995-03-31,345.55,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1995-04-28,341.57,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1995-05-31,382.63,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1995-06-30,376.38,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1995-07-31,381.72,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1995-08-31,362.97,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1995-09-29,368.79,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1995-10-31,362.69,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1995-11-30,358.39,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1995-12-29,375.73,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1996-01-31,409.66,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1996-02-29,407.66,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1996-03-29,410.18,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1996-04-30,420.92,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1996-05-31,416.11,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1996-06-28,407.16,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1996-07-31,377.11,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1996-08-30,390.03,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1996-09-30,399.38,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1996-10-31,391.38,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1996-11-29,413.31,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1996-12-31,410.23,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1997-01-31,415.65,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1997-02-28,416.78,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1997-03-31,392.98,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1997-04-30,382.38,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1997-05-30,400.97,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1997-06-30,411.02,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1997-07-31,412.24,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1997-08-29,335.75,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1997-09-30,332.75,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1997-10-31,251.02,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1997-11-28,234.66,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1997-12-31,223.64,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1998-01-30,204.35,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1998-02-27,250.83,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1998-03-31,244.24,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1998-04-30,218.63,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1998-05-29,184.18,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1998-06-30,163.6,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1998-07-31,158.65,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1998-08-31,133.69,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1998-09-30,147.75,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1998-10-30,187.79,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1998-11-30,204.56,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1998-12-31,207.12,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1999-01-29,200.06,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1999-02-26,196.17,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1999-03-31,217.51,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1999-04-30,267.46,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1999-05-31,255.08,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1999-06-30,298.89,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1999-07-30,286.92,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1999-08-31,291.31,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1999-09-30,267.74,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1999-10-29,280.34,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1999-11-30,308.05,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",1999-12-31,330.15,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2000-01-31,322.63,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2000-02-29,305.3,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2000-03-31,318.99,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2000-04-28,292.64,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2000-05-31,268.48,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2000-06-30,280.61,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2000-07-31,270.16,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2000-08-31,266.5,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2000-09-29,235.39,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2000-10-31,216.75,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2000-11-30,205.7,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2000-12-29,205.1,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2001-01-31,232.54,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2001-02-28,221.13,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2001-03-30,196.91,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2001-04-30,197.21,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2001-05-31,195.28,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2001-06-29,190.84,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2001-07-31,183.23,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2001-08-31,179.93,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2001-09-28,151.07,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2001-10-31,158.63,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2001-11-30,180.24,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2001-12-31,196.52,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2002-01-31,204.43,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2002-02-28,204.75,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2002-03-29,219.22,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2002-04-30,221.81,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2002-05-31,216.72,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2002-06-28,204.79,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2002-07-31,196.88,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2002-08-30,192.19,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2002-09-30,170.01,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2002-10-31,179.04,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2002-11-29,187.82,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2002-12-31,174.8,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2003-01-31,176.86,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2003-02-28,168.18,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2003-03-31,160.12,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2003-04-30,165.19,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2003-05-30,178.67,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2003-06-30,188.74,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2003-07-31,204.47,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2003-08-29,218.91,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2003-09-30,219.44,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2003-10-31,237.87,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2003-11-28,234.07,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2003-12-31,246.07,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2004-01-30,261.98,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2004-02-27,271.39,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2004-03-31,265.26,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2004-04-30,249.18,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2004-05-31,242.33,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2004-06-30,239.56,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2004-07-30,232.39,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2004-08-31,243.72,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2004-09-30,251.6,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2004-10-29,252.51,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2004-11-30,273.93,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2004-12-31,281.1,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2005-01-31,282.72,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2005-02-28,298.53,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2005-03-31,283.95,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2005-04-29,280.35,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2005-05-31,285.68,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2005-06-30,291.57,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2005-07-29,309.43,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2005-08-31,298.16,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2005-09-30,312.47,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2005-10-31,292.7,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2005-11-30,313.28,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2005-12-30,331.3,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2006-01-31,354.42,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2006-02-28,353.11,"PX LAST","Far East ex Japon","Price Only"
"MXFEJ Index",2006-03-31,356.37,"PX LAST","Far East ex Japon","Price Only"
